record.id	node.id	part_age	cont_age	w	m	c
860	832	12	7	201728	0.166700690441204	8.2636367009639e-07
861	833	13	7	201728	0.109924596793953	5.4491491906901e-07
862	834	14	7	201728	0.0777315568859106	3.85328545793894e-07
863	835	15	7	201728	0.0577979901753237	2.86514465891318e-07
864	836	16	7	201728	0.0454625915043423	2.25365797035327e-07
865	837	17	7	201728	0.0388948106549811	1.92808190508908e-07
866	838	18	7	201728	0.0356040969020207	1.76495562847104e-07
867	839	19	7	201728	0.0340765041534717	1.68923025824237e-07
868	840	20	7	201728	0.0343433051730238	1.70245603847873e-07
869	841	21	7	201728	0.0356281553148113	1.76614824490459e-07
870	842	22	7	201728	0.0387049877875367	1.91867206275464e-07
871	843	23	7	201728	0.0437358308223694	2.16805950697818e-07
872	844	24	7	201728	0.0488847104798398	2.42329822730805e-07
873	845	25	7	201728	0.0550488289710377	2.72886406304716e-07
874	846	26	7	201728	0.061701425890098	3.05864460511669e-07
875	847	27	7	201728	0.0679601847207972	3.3689019234215e-07
876	848	28	7	201728	0.0749868595235972	3.7172261423103e-07
877	849	29	7	201728	0.0837518656003559	4.1517223984948e-07
878	850	30	7	201728	0.0948426324420066	4.70151057076889e-07
879	851	31	7	201728	0.110930649652097	5.49902094166884e-07
880	852	32	7	201728	0.133102951488503	6.59813964786759e-07
881	853	33	7	201728	0.158376511500426	7.85099299553985e-07
882	854	34	7	201728	0.184493157747723	9.14563956157417e-07
883	855	35	7	201728	0.214957421461144	1.06558049185608e-06
884	856	36	7	201728	0.24706915860898	1.22476383352326e-06
885	857	37	7	201728	0.274185633506094	1.35918481076545e-06
886	858	38	7	201728	0.285401620991432	1.41478436801749e-06
887	859	39	7	201728	0.280084337716368	1.38842569061493e-06
888	860	40	7	201728	0.262576711970802	1.30163741260907e-06
889	861	41	7	201728	0.233670898983404	1.15834638217503e-06
890	862	42	7	201728	0.200062804170518	9.91745341105438e-07
891	863	43	7	201728	0.165541103207644	8.2061539899094e-07
892	864	44	7	201728	0.140047623833081	6.94239886545651e-07
893	865	45	7	201728	0.12131588684546	6.01383480951877e-07
894	866	46	7	201728	0.109317465093893	5.41905263988604e-07
895	867	47	7	201728	0.102105214901419	5.06152913335873e-07
896	868	48	7	201728	0.0947443189575413	4.69663700416111e-07
897	869	49	7	201728	0.0840360033840816	4.16580759161255e-07
898	870	50	7	201728	0.073813647310532	3.65906801785236e-07
899	871	51	7	201728	0.0642717801807754	3.18606143821261e-07
900	872	52	7	201728	0.0568255957621442	2.81694141428776e-07
901	873	53	7	201728	0.0530341714050342	2.62899406155983e-07
902	874	54	7	201728	0.0522894375873712	2.59207633979275e-07
903	875	55	7	201728	0.0527941219476555	2.61709440175164e-07
904	876	56	7	201728	0.0530421334131714	2.62938875184265e-07
905	877	57	7	201728	0.0531570617970902	2.6350859472701e-07
906	878	58	7	201728	0.0536193493942303	2.65800232958391e-07
907	879	59	7	201728	0.0555297444231165	2.75270385980709e-07
908	880	60	7	201728	0.0589768589520321	2.92358318884994e-07
909	881	61	7	201728	0.0631793308155186	3.13190686545837e-07
910	882	62	7	201728	0.0649085376126355	3.21762658692078e-07
911	883	63	7	201728	0.065020488348906	3.22317617529079e-07
912	884	64	7	201728	0.0637959695770663	3.1624746974672e-07
913	885	65	7	201728	0.0624138766788654	3.09396200224388e-07
914	886	66	7	201728	0.0603292867908629	2.99062533663462e-07
915	887	67	7	201728	0.0590857949834425	2.9289833331735e-07
916	888	68	7	201728	0.058412420394087	2.89560300970054e-07
917	889	69	7	201728	0.0591723494856904	2.93327398703652e-07
918	890	70	7	201728	0.0604127162941518	2.99476107898516e-07
919	891	71	7	201728	0.0609151851046701	3.01966931237459e-07
920	892	72	7	201728	0.0594168239029084	2.94539299962863e-07
921	893	73	7	201728	0.0547070661446701	2.71192229857383e-07
922	894	74	7	201728	0.048896322337331	2.42387384682994e-07
923	895	75	7	201728	0.0408472912077864	2.02486968629969e-07
924	896	76	7	201728	0.0333838926522116	1.65489632833378e-07
925	897	77	7	201728	0.0269537735002721	1.33614438750556e-07
926	898	78	7	201728	0.0217280006183683	1.07709393928301e-07
927	899	79	7	201728	0.0175823619117397	8.71587578905244e-08
928	900	80	7	201728	0.0144901169047477	7.18299735522469e-08
929	901	81	7	201728	0.0122344589054467	6.06482932733515e-08
930	902	82	7	201728	0.010584504000039	5.2469186231158e-08
931	903	83	7	201728	0.00935103635559234	4.63546773655236e-08
932	904	84	7	201728	0.00845153785744594	4.18957103498073e-08
933	905	85	7	201728	0.00782096488505334	3.87698528962431e-08
934	906	86	7	201728	0.00740378532113901	3.67018228562173e-08
935	907	87	7	201728	0.00715685732272666	3.54777587777931e-08
